"","site_name","year","latitude","longitude","2005-2014_benzene","benzene","diff"
"1","Anchorage Rosia Road",2015,36.123528,-5.353585,1.48888888888889,1.2,-0.3
"2","Bleak House",2015,36.112824,-5.350188,0.809090909090909,0.7,-0.1
"3","Catalan Bay Road",2015,36.142964,-5.340263,0.927272727272727,0.9,0
"4","Devils Tower Road",2015,36.146991,-5.344171,1.5,0.9,-0.6
"5","Glacis Road",2015,36.146315,-5.353284,2.02727272727273,1.9,-0.1
"6","Governors Meadow House",2015,36.13022,-5.352562,1.12222222222222,1,-0.1
"7","Harbour Views",2015,36.146002,-5.36131,1.30909090909091,1.1,-0.2
"8","Jumpers",2015,36.128969,-5.352105,1.70909090909091,1.5,-0.2
"9","Kings Lines Fuel Depot",2015,36.14593,-5.35123,1.38181818181818,1.2,-0.2
"10","Laguna Estate",2015,36.14569,-5.35057,1.2,0.9,-0.3
"11","Moorish Castle Estate",2015,36.14422,-5.3508,1.11818181818182,1.1,0
"12","North Mole",2015,36.14842,-5.36164,1.66363636363636,1.5,-0.2
"13","Queensway",2015,36.141443,-5.355986,1.86363636363636,1.8,-0.1
"14","Rosia Road",2015,36.133317,-5.353175,1.9,1.9,0
"15","Sundial Roundabout",2015,36.148754,-5.34956,1.97777777777778,2.1,0.1
